Region,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Gambela,Itang,2019-02-01,14.54,21.65,10.17,16.68,18.53,10.49,0.94,6.28,64.01,0.21,0.42,1.23,56.0,Moderate,10.6,42.9,1.829,-0.86,0.22,16.9
Gambela,Itang,2019-03-01,21.7,30.88,8.92,11.44,8.45,4.47,0.23,4.32,27.9,0.66,2.54,0.74,71.0,Moderate,4.6,45.4,1.817,1.54,0.22,16.9
Gambela,Itang,2019-04-01,22.95,56.81,8.36,9.08,25.62,13.69,0.99,4.99,67.6,0.08,2.7,1.21,74.0,Moderate,9.7,60.8,1.851,2.05,0.22,16.9
Gambela,Itang,2019-05-01,4.38,35.29,7.93,13.34,9.2,7.44,,5.62,37.19,0.49,1.97,0.64,18.0,Good,9.3,58.6,1.81,-1.9,0.23,16.8
Gambela,Itang,2019-06-01,13.09,28.08,3.02,2.0,2.88,7.65,0.83,1.43,28.6,0.28,0.5,0.03,53.0,Moderate,11.9,71.2,1.716,0.81,0.21,16.9
Gambela,Itang,2019-07-01,2.0,25.27,1.0,6.0,8.3,5.93,0.5,3.34,37.49,0.39,,0.62,8.0,Good,15.5,88.9,1.76,0.28,0.21,16.8
Gambela,Itang,2019-08-01,10.1,18.67,7.05,7.32,9.08,6.02,0.45,1.0,20.55,0.18,1.23,0.46,42.0,Good,13.4,78.2,1.763,-0.04,0.22,16.9
Gambela,Itang,2019-09-01,14.24,35.35,4.95,11.84,10.49,5.12,,2.14,21.77,0.3,1.69,0.73,55.0,Moderate,7.2,68.4,1.839,-0.3,0.22,16.9
Gambela,Itang,2019-10-01,12.94,30.82,5.19,11.0,20.17,8.14,0.46,5.63,57.53,0.41,1.5,0.86,53.0,Moderate,10.9,67.0,1.767,-0.01,0.21,16.8
Gambela,Itang,2019-11-01,22.82,29.25,7.65,,21.83,,1.02,2.2,28.57,0.09,0.62,0.01,74.0,Moderate,7.3,51.8,1.786,0.55,0.22,16.9
Gambela,Itang,2019-12-01,16.77,41.77,2.2,16.93,8.28,3.68,0.75,5.04,51.25,0.25,2.69,0.1,61.0,Moderate,7.1,50.6,1.844,-0.95,0.22,16.9
Gambela,Itang,2020-01-01,,42.94,,15.53,19.88,1.66,0.53,2.22,29.69,0.41,0.77,0.26,,,4.1,44.2,1.776,0.99,0.23,17.2
Gambela,Itang,2020-02-01,13.41,44.2,11.46,28.27,25.94,13.74,1.08,5.5,52.8,0.43,0.82,,54.0,Moderate,9.8,44.6,1.815,-0.15,0.22,17.3
Gambela,Itang,2020-03-01,25.26,36.59,4.09,17.13,24.94,9.87,1.55,2.43,62.68,0.5,3.37,0.64,79.0,Moderate,8.8,50.8,1.744,-0.01,0.23,17.3
Gambela,Itang,2020-04-01,19.1,22.04,2.02,3.24,3.48,3.27,0.45,1.03,24.53,0.1,1.95,,66.0,Moderate,12.5,50.6,1.799,0.32,0.23,17.2
Gambela,Itang,2020-05-01,,15.23,3.88,4.21,10.92,4.58,0.33,3.4,34.61,0.5,0.97,0.26,,,4.5,53.9,1.757,1.17,0.23,17.2
Gambela,Itang,2020-06-01,3.76,6.24,3.95,7.92,15.25,1.44,0.71,3.53,36.41,0.31,1.4,,16.0,Good,12.5,73.0,1.749,1.07,0.23,17.3
Gambela,Itang,2020-07-01,2.73,19.66,1.0,7.49,10.03,6.54,0.61,1.75,17.22,0.11,0.45,0.01,11.0,Good,9.7,91.0,1.829,-0.36,0.23,17.2
Gambela,Itang,2020-08-01,10.28,12.14,2.03,9.07,7.48,,0.29,2.54,30.41,0.14,1.21,0.29,43.0,Good,13.2,84.2,1.756,0.16,0.23,17.3
Gambela,Itang,2020-09-01,6.8,19.91,1.93,5.11,16.39,4.43,0.2,3.57,11.17,0.41,0.54,0.21,28.0,Good,6.1,76.1,1.853,0.87,0.22,17.2
Gambela,Itang,2020-10-01,11.14,6.63,3.66,6.57,16.87,4.52,0.32,5.28,42.62,0.4,2.05,0.86,46.0,Good,5.2,55.1,1.804,0.41,0.23,17.3
Gambela,Itang,2020-11-01,13.34,43.44,7.35,18.69,15.19,8.38,0.56,1.58,57.37,0.01,0.96,0.56,54.0,Moderate,6.1,51.4,1.785,0.42,0.23,17.3
Gambela,Itang,2020-12-01,10.33,54.71,3.92,16.07,8.4,,1.15,2.6,56.14,0.02,1.22,0.69,43.0,Good,3.1,45.5,1.815,-0.12,0.22,17.3
Gambela,Itang,2021-01-01,10.08,8.83,6.12,18.96,15.26,6.45,1.25,8.01,28.36,0.24,0.9,0.6,42.0,Good,2.7,49.7,1.823,1.74,0.22,17.6
Gambela,Itang,2021-02-01,12.37,19.7,7.7,15.1,14.58,8.55,0.45,2.35,45.52,0.22,1.1,0.17,52.0,Moderate,13.1,40.1,1.721,0.55,0.23,17.6
Gambela,Itang,2021-03-01,22.8,41.42,10.18,13.16,15.24,7.93,0.28,2.39,76.15,,2.73,1.16,74.0,Moderate,11.7,36.0,1.85,1.43,0.23,17.7
Gambela,Itang,2021-04-01,15.53,42.31,10.24,11.04,19.97,10.91,0.29,4.98,,0.48,0.85,0.83,58.0,Moderate,11.6,61.3,1.812,0.95,0.24,17.6
Gambela,Itang,2021-05-01,8.28,26.06,5.62,16.94,20.83,11.71,0.15,4.74,,0.26,1.67,0.1,35.0,Good,14.7,43.9,1.767,-1.92,0.22,17.6
Gambela,Itang,2021-06-01,18.48,13.76,,10.65,9.03,7.84,0.33,2.97,50.77,0.25,0.59,0.28,64.0,Moderate,5.8,65.5,1.779,0.26,0.22,17.6
Gambela,Itang,2021-07-01,11.6,12.31,6.15,3.31,4.79,0.76,0.59,3.5,30.93,0.29,1.02,0.01,48.0,Good,6.1,89.4,1.747,0.67,0.23,17.6
Gambela,Itang,2021-08-01,13.5,8.93,4.24,7.87,14.41,6.7,0.29,2.96,23.08,0.35,0.13,0.06,54.0,Moderate,6.8,82.3,1.778,0.65,0.22,17.6
Gambela,Itang,2021-09-01,9.64,5.0,3.01,2.26,10.5,0.5,0.51,3.21,20.19,0.15,1.24,0.26,40.0,Good,11.9,63.8,1.785,0.14,0.23,17.6
Gambela,Itang,2021-10-01,15.78,37.86,7.33,5.86,6.4,4.98,0.84,4.9,25.89,0.26,2.61,0.69,59.0,Moderate,3.0,67.9,1.847,-0.1,0.23,17.6
Gambela,Itang,2021-11-01,10.85,13.1,4.13,12.58,14.38,6.25,0.38,4.74,57.9,0.01,1.75,0.26,45.0,Good,3.2,43.0,1.794,-0.72,0.23,17.7
Gambela,Itang,2021-12-01,16.94,27.75,9.58,11.13,16.79,8.4,0.89,5.22,54.39,0.14,0.75,0.09,61.0,Moderate,5.2,39.7,1.751,-0.23,0.23,17.7
Gambela,Itang,2022-01-01,19.64,30.54,4.85,9.6,11.35,10.14,0.86,1.0,44.98,0.04,2.63,0.89,67.0,Moderate,12.1,44.8,1.902,0.8,0.22,18.0
Gambela,Itang,2022-02-01,15.46,39.66,7.38,11.6,20.33,8.81,0.45,2.66,50.67,0.05,2.09,1.29,58.0,Moderate,4.5,38.3,1.776,0.76,0.23,18.0
Gambela,Itang,2022-03-01,21.93,26.34,5.02,17.49,16.29,2.92,0.48,6.05,66.5,0.16,2.68,,72.0,Moderate,9.4,37.6,1.727,0.71,0.23,18.0
Gambela,Itang,2022-04-01,21.85,41.57,3.67,7.25,7.9,14.0,1.39,2.56,64.94,0.2,1.81,0.56,72.0,Moderate,4.1,57.4,1.791,0.45,0.23,18.0
Gambela,Itang,2022-05-01,9.35,32.66,5.0,18.08,16.92,6.89,0.94,2.68,60.5,0.4,0.05,0.28,39.0,Good,13.5,57.5,1.764,1.0,0.23,18.0
Gambela,Itang,2022-06-01,8.62,27.38,2.15,11.99,10.07,4.23,0.09,2.76,42.65,0.17,1.49,0.41,36.0,Good,6.9,59.2,1.768,0.4,0.24,18.0
Gambela,Itang,2022-07-01,12.19,19.12,4.47,3.32,16.36,3.12,0.32,3.54,17.29,0.25,1.51,0.01,51.0,Moderate,9.4,78.4,1.834,1.05,0.23,18.0
Gambela,Itang,2022-08-01,2.48,19.35,1.3,5.38,4.93,1.18,0.25,2.62,24.27,0.24,0.48,0.34,10.0,Good,14.8,76.6,1.792,0.3,0.23,18.0
Gambela,Itang,2022-09-01,7.19,22.49,2.49,8.87,9.03,3.01,0.38,1.38,37.02,0.04,,,30.0,Good,12.9,76.6,1.776,-0.97,0.24,18.0
Gambela,Itang,2022-10-01,17.69,15.47,6.66,12.52,9.42,10.41,0.66,2.58,42.49,0.05,2.0,0.2,63.0,Moderate,12.2,69.0,1.805,1.01,0.23,18.0
Gambela,Itang,2022-11-01,16.94,15.34,7.42,6.98,16.83,2.27,1.02,2.61,69.92,0.32,1.05,0.16,61.0,Moderate,4.0,56.8,1.721,-0.49,0.23,18.0
Gambela,Itang,2022-12-01,23.59,32.35,1.0,8.83,8.68,3.68,0.99,4.95,67.8,0.21,0.16,0.34,75.0,Moderate,5.2,43.9,1.792,1.04,0.23,18.0
Gambela,Itang,2023-01-01,14.29,51.27,9.37,18.45,23.57,5.22,0.75,3.49,56.22,0.57,2.27,0.57,56.0,Moderate,11.7,42.9,1.786,1.87,0.24,18.4
Gambela,Itang,2023-02-01,11.14,20.03,8.69,5.57,13.07,11.25,0.44,6.97,77.05,0.24,1.36,1.1,46.0,Good,13.1,36.9,1.843,-0.96,0.24,18.4
Gambela,Itang,2023-03-01,13.59,39.48,8.54,13.51,23.46,8.52,0.53,4.47,73.44,0.15,2.71,0.71,54.0,Moderate,14.9,39.1,1.725,1.15,0.24,18.4
Gambela,Itang,2023-04-01,17.26,24.82,8.81,,2.66,3.81,0.61,6.55,66.26,0.25,1.04,0.23,62.0,Moderate,9.3,51.6,1.856,0.34,0.24,18.4
Gambela,Itang,2023-05-01,15.23,47.64,2.48,12.72,9.59,5.18,0.97,6.14,36.48,0.19,0.66,0.87,58.0,Moderate,12.9,54.3,1.813,1.57,0.23,18.4
Gambela,Itang,2023-06-01,11.39,35.6,2.98,4.52,5.65,5.65,0.61,1.8,44.32,0.28,1.15,0.25,47.0,Good,12.4,76.1,1.813,0.87,0.23,18.3
Gambela,Itang,2023-07-01,5.94,8.88,3.98,,11.62,4.28,0.16,3.72,14.88,0.29,0.75,0.48,25.0,Good,9.3,78.2,1.819,0.23,0.24,18.4
Gambela,Itang,2023-08-01,9.62,17.7,3.54,4.13,5.44,4.59,,1.0,26.32,0.19,0.47,0.41,40.0,Good,6.9,77.1,1.808,-0.92,0.24,18.4
Gambela,Itang,2023-09-01,14.23,10.39,1.0,4.86,15.69,6.12,0.13,1.0,,0.3,1.55,0.27,55.0,Moderate,8.8,77.2,1.769,0.78,0.24,18.4
Gambela,Itang,2023-10-01,14.99,23.36,3.22,17.83,9.24,9.99,0.4,2.47,64.79,,2.22,1.03,57.0,Moderate,10.2,59.4,1.801,1.78,0.24,18.4
Gambela,Itang,2023-11-01,9.79,38.67,3.3,6.07,24.58,9.73,0.97,5.93,74.1,0.24,0.37,0.77,41.0,Good,6.3,41.4,1.831,1.0,0.24,18.4
Gambela,Itang,2023-12-01,16.61,12.34,6.38,19.94,11.86,10.51,1.1,7.25,53.19,0.18,1.0,0.54,60.0,Moderate,8.0,38.3,1.796,0.13,0.23,18.4
Gambela,Itang,2024-01-01,6.92,35.77,5.47,13.24,6.91,2.0,1.48,6.23,72.67,0.49,2.72,0.9,29.0,Good,7.2,47.8,1.814,0.76,0.24,18.7
Gambela,Itang,2024-02-01,5.24,43.74,,9.41,8.93,5.92,0.87,4.2,46.34,0.14,0.74,0.37,22.0,Good,9.2,46.8,1.85,-0.67,0.24,18.7
Gambela,Itang,2024-03-01,12.9,48.82,6.45,14.72,19.91,6.94,1.41,4.49,68.46,0.16,1.82,0.03,53.0,Moderate,5.9,35.6,1.848,2.21,0.24,18.8
Gambela,Itang,2024-04-01,13.17,37.24,12.47,12.71,26.15,7.33,0.9,7.62,79.88,0.54,2.45,0.54,53.0,Moderate,8.4,39.8,1.809,-0.94,0.23,18.8
Gambela,Itang,2024-05-01,19.33,28.92,7.07,10.23,16.8,10.48,1.25,2.34,44.0,0.2,2.84,0.94,66.0,Moderate,3.6,56.4,1.807,0.48,0.24,18.7
Gambela,Itang,2024-06-01,10.1,28.99,,8.33,8.94,1.06,0.36,1.0,50.7,0.01,1.1,0.51,42.0,Good,6.3,74.7,1.889,-0.48,0.23,18.8
Gambela,Itang,2024-07-01,12.51,20.19,2.12,3.89,4.31,2.5,0.36,1.95,17.81,0.38,1.3,,52.0,Moderate,8.9,94.7,1.827,1.32,0.24,18.8
Gambela,Itang,2024-08-01,10.64,10.99,2.43,4.02,13.82,3.76,0.36,1.0,27.69,0.29,1.08,0.12,44.0,Good,11.3,80.6,1.907,-0.26,0.24,18.7
Gambela,Itang,2024-09-01,4.15,13.67,5.5,3.85,11.76,5.4,,3.38,40.09,0.08,0.67,0.01,17.0,Good,4.1,70.5,1.789,0.51,0.24,18.8
Gambela,Itang,2024-10-01,17.54,36.12,1.19,7.48,13.07,5.13,0.77,3.69,47.51,0.3,1.17,0.68,62.0,Moderate,4.9,69.6,1.846,0.28,0.24,18.8
Gambela,Itang,2024-11-01,9.53,39.28,6.84,,23.51,7.97,0.51,,69.92,0.57,2.07,1.04,40.0,Good,9.3,49.1,1.817,1.15,0.24,18.8
Gambela,Itang,2024-12-01,28.21,47.33,10.66,17.34,28.37,11.26,0.3,1.98,79.43,0.01,0.13,0.83,85.0,Moderate,6.4,46.6,1.806,-0.04,0.24,18.7
Gambela,Itang,2025-01-01,7.83,48.09,4.92,14.52,23.58,6.67,,4.62,30.15,0.2,2.05,0.31,33.0,Good,9.3,47.9,1.852,-0.3,0.24,19.1
Gambela,Itang,2025-02-01,8.45,51.72,6.91,11.33,25.46,5.84,1.57,3.6,37.43,0.14,0.85,0.8,35.0,Good,11.9,42.6,1.756,1.68,0.24,19.2
Gambela,Itang,2025-03-01,23.51,52.14,12.33,16.82,23.51,8.74,0.63,4.23,,0.74,2.96,1.01,75.0,Moderate,6.1,48.0,1.786,1.46,0.25,19.1
Gambela,Itang,2025-04-01,17.7,64.85,7.6,10.6,14.02,4.51,1.4,5.65,88.94,0.59,,0.19,63.0,Moderate,12.6,48.0,1.832,-1.4,0.24,19.1
Gambela,Itang,2025-05-01,25.34,54.32,1.23,12.65,12.87,8.88,0.98,6.7,77.0,0.18,1.58,0.95,79.0,Moderate,14.9,57.5,1.707,1.1,0.25,19.1
Gambela,Itang,2025-06-01,13.14,26.19,1.02,8.93,10.27,0.9,0.96,1.0,41.77,0.43,1.69,0.39,53.0,Moderate,5.5,68.4,1.833,-0.13,0.25,19.1
Gambela,Itang,2025-07-01,5.88,15.88,,5.61,11.0,1.81,0.39,1.22,14.89,0.26,0.34,0.36,24.0,Good,5.9,78.8,1.863,0.67,0.24,19.2
Gambela,Itang,2025-08-01,7.22,5.0,1.81,10.93,9.87,1.14,0.54,1.72,19.17,,0.05,0.48,30.0,Good,5.8,91.7,1.86,0.69,0.25,19.1
Gambela,Itang,2025-09-01,14.65,21.81,8.01,6.25,9.34,4.65,0.41,1.7,30.37,0.23,0.23,0.18,56.0,Moderate,8.2,70.8,1.721,1.15,0.25,19.1
Gambela,Itang,2025-10-01,,35.25,5.01,15.91,17.95,4.74,1.07,2.3,34.11,0.4,,0.47,,,5.7,58.2,1.845,0.06,0.24,19.1
Gambela,Itang,2025-11-01,17.97,11.57,8.33,6.28,2.0,11.31,1.15,3.65,40.41,0.11,1.29,0.36,63.0,Moderate,6.9,41.4,1.849,-0.83,0.24,19.1
Gambela,Itang,2025-12-01,21.55,49.16,8.86,11.79,5.48,10.24,1.2,1.63,54.14,0.52,2.46,0.71,71.0,Moderate,7.0,44.1,1.871,-0.16,0.24,19.1
Gambela,Jikawo,2014-01-01,24.3,36.47,9.15,18.64,,2.23,0.73,3.5,32.68,0.34,0.91,0.3,77.0,Moderate,9.1,37.7,1.825,1.69,0.2,15.0
Gambela,Jikawo,2014-02-01,20.22,31.42,9.19,19.31,7.59,8.79,0.57,5.29,20.98,0.07,1.14,0.8,68.0,Moderate,11.5,49.9,1.773,-0.49,0.2,15.0
Gambela,Jikawo,2014-03-01,17.57,16.21,8.73,8.83,18.17,12.03,0.9,3.8,38.23,0.6,0.67,0.95,63.0,Moderate,9.8,41.9,1.812,1.84,0.2,15.0
Gambela,Jikawo,2014-04-01,15.86,48.03,8.57,9.47,19.06,9.43,1.1,5.33,44.66,0.18,2.44,0.9,59.0,Moderate,11.4,48.2,1.824,-1.12,0.21,15.0
Gambela,Jikawo,2014-05-01,17.7,13.33,4.03,8.7,12.98,8.29,0.96,2.34,50.86,0.44,2.14,0.9,63.0,Moderate,13.4,48.1,1.84,0.45,0.2,15.0
Gambela,Jikawo,2014-06-01,7.09,33.62,1.7,11.44,18.7,5.21,0.51,1.47,21.81,0.33,1.21,0.49,30.0,Good,5.4,75.7,1.838,1.27,0.2,15.0
Gambela,Jikawo,2014-07-01,4.7,11.13,2.84,4.91,3.69,3.41,0.3,3.36,34.08,0.05,,0.01,20.0,Good,9.4,76.5,1.771,0.86,0.2,15.0
Gambela,Jikawo,2014-08-01,9.44,5.25,3.33,6.76,9.58,5.58,0.36,1.03,34.86,0.03,0.12,0.34,39.0,Good,11.2,86.8,1.698,1.3,0.2,15.0
Gambela,Jikawo,2014-09-01,15.01,7.55,2.08,3.69,12.19,0.5,0.31,1.0,33.81,0.17,,0.09,57.0,Moderate,8.3,77.1,1.826,-0.45,0.2,15.0
Gambela,Jikawo,2014-10-01,15.83,21.7,4.52,8.32,8.37,7.84,0.68,3.37,37.33,0.3,0.79,0.74,59.0,Moderate,10.8,65.9,1.717,-0.11,0.2,15.0
Gambela,Jikawo,2014-11-01,18.22,28.45,,18.6,20.78,8.15,1.04,,66.54,0.01,1.37,0.32,64.0,Moderate,2.4,52.3,1.763,0.55,0.19,15.0
Gambela,Jikawo,2014-12-01,24.84,49.64,2.97,10.7,15.61,9.04,0.61,3.31,33.96,0.11,2.17,0.46,78.0,Moderate,9.7,41.4,1.909,-1.33,0.2,15.0
Gambela,Jikawo,2015-01-01,9.34,20.02,6.06,15.53,9.71,13.25,0.92,7.02,64.35,0.35,1.32,0.31,39.0,Good,11.4,43.7,1.828,0.48,0.21,15.3
Gambela,Jikawo,2015-02-01,23.1,24.91,9.02,9.53,9.55,12.96,,7.92,71.61,0.41,0.81,0.34,74.0,Moderate,5.2,33.9,1.835,0.5,0.2,15.4
Gambela,Jikawo,2015-03-01,12.98,50.32,7.92,17.4,19.2,12.46,0.78,6.32,36.63,0.3,2.36,0.99,53.0,Moderate,8.1,43.8,1.802,-1.75,0.2,15.4
Gambela,Jikawo,2015-04-01,8.76,19.09,6.08,8.71,3.02,5.47,0.31,3.79,46.39,0.47,1.57,0.54,37.0,Good,14.1,55.0,1.809,1.37,0.21,15.4
Gambela,Jikawo,2015-05-01,17.9,18.74,1.71,9.3,17.62,7.18,0.69,2.32,25.81,0.16,0.17,0.14,63.0,Moderate,6.8,57.5,1.77,0.75,0.21,15.4
Gambela,Jikawo,2015-06-01,8.99,33.63,7.14,6.36,14.65,5.17,0.61,1.0,21.9,0.19,2.42,0.18,37.0,Good,5.5,75.4,1.818,-1.37,0.2,15.4
Gambela,Jikawo,2015-07-01,11.23,14.65,4.25,8.69,5.79,5.17,0.38,1.99,35.04,0.35,0.22,0.14,47.0,Good,8.8,77.3,1.82,2.06,0.21,15.4
Gambela,Jikawo,2015-08-01,12.09,20.18,3.26,9.46,14.02,5.35,0.47,2.3,17.72,0.09,0.56,0.37,51.0,Moderate,11.2,82.5,1.787,-0.02,0.2,15.4
Gambela,Jikawo,2015-09-01,4.33,19.79,2.01,2.38,2.0,5.34,0.53,1.59,13.54,0.3,1.22,0.25,18.0,Good,4.0,77.2,1.804,1.59,0.2,15.4
Gambela,Jikawo,2015-10-01,9.1,25.0,5.12,8.86,14.17,3.74,1.01,1.0,24.55,0.2,1.16,0.58,38.0,Good,10.5,50.4,1.833,0.34,0.2,15.3
Gambela,Jikawo,2015-11-01,5.79,35.34,4.76,7.0,,10.02,0.8,3.38,37.71,0.25,1.53,0.53,24.0,Good,5.0,46.0,1.777,-1.15,0.21,15.4
Gambela,Jikawo,2015-12-01,11.18,12.41,5.48,18.92,18.32,11.07,,2.35,54.42,0.65,1.18,0.55,47.0,Good,4.8,34.1,1.812,-0.35,0.21,15.4
Gambela,Jikawo,2016-01-01,16.47,45.7,9.36,8.63,8.3,5.45,0.83,,56.05,0.01,2.49,1.03,60.0,Moderate,6.1,53.5,1.775,2.29,0.21,15.8
Gambela,Jikawo,2016-02-01,12.72,34.49,9.64,16.26,11.6,9.75,1.71,3.51,87.0,0.5,2.61,0.16,52.0,Moderate,8.4,36.5,1.789,0.26,0.2,15.8
Gambela,Jikawo,2016-03-01,8.61,53.9,6.83,14.2,,9.92,0.53,5.56,28.35,0.2,0.73,0.89,36.0,Good,9.3,45.7,1.753,-0.2,0.21,15.7
Gambela,Jikawo,2016-04-01,25.7,62.32,4.52,11.07,26.18,,0.39,2.29,79.33,0.52,0.1,0.72,80.0,Moderate,6.1,57.3,1.795,0.58,0.21,15.8
Gambela,Jikawo,2016-05-01,15.12,23.59,8.75,8.44,7.55,10.37,0.98,6.08,43.54,0.04,1.22,0.51,57.0,Moderate,12.3,63.6,1.843,0.99,0.21,15.8
Gambela,Jikawo,2016-06-01,2.92,,5.28,,8.28,5.11,0.84,2.72,22.43,0.38,0.98,0.26,12.0,Good,8.4,66.1,1.816,1.17,0.2,15.8
Gambela,Jikawo,2016-07-01,7.41,19.51,3.08,6.16,8.3,3.6,0.42,3.01,18.71,0.01,1.17,0.12,31.0,Good,11.2,89.1,1.764,1.84,0.21,15.8
Gambela,Jikawo,2016-08-01,7.85,14.74,3.16,5.8,13.06,1.96,0.51,1.0,19.95,0.27,1.11,0.23,33.0,Good,11.7,77.4,1.832,1.33,0.21,15.8
Gambela,Jikawo,2016-09-01,4.71,26.92,2.95,2.71,11.25,5.26,0.43,1.0,19.01,0.13,0.05,0.61,20.0,Good,12.0,74.5,1.85,-1.85,0.21,15.7
Gambela,Jikawo,2016-10-01,14.93,37.86,6.88,13.93,11.83,2.8,0.86,3.3,55.14,0.51,1.5,0.66,57.0,Moderate,8.7,65.3,1.782,0.67,0.21,15.7
Gambela,Jikawo,2016-11-01,15.91,17.61,5.67,10.56,10.45,7.0,0.35,2.7,49.38,0.01,0.79,0.55,59.0,Moderate,10.0,38.7,1.781,1.29,0.21,15.8
Gambela,Jikawo,2016-12-01,22.31,7.26,4.48,16.75,10.23,5.12,0.58,5.29,49.7,0.52,2.72,0.73,72.0,Moderate,4.6,40.7,1.762,0.15,0.22,15.7
Gambela,Jikawo,2017-01-01,28.68,39.66,4.29,11.03,26.74,8.01,1.17,5.4,62.19,0.35,1.85,1.16,86.0,Moderate,5.9,38.2,1.745,0.12,0.21,16.2
Gambela,Jikawo,2017-02-01,,28.9,7.61,7.41,11.2,2.89,1.3,6.14,58.56,0.72,1.8,0.16,,,11.2,39.7,1.811,0.79,0.22,16.1
Gambela,Jikawo,2017-03-01,,39.22,3.05,6.54,11.35,10.94,1.08,4.96,34.31,0.41,1.62,0.18,,,10.0,51.2,1.764,0.38,0.22,16.1
Gambela,Jikawo,2017-04-01,10.34,,9.11,5.25,11.82,3.83,0.63,8.42,88.73,0.9,0.74,0.96,43.0,Good,9.6,56.4,1.779,0.73,0.22,16.1
Gambela,Jikawo,2017-05-01,11.3,42.55,7.6,8.65,18.74,4.06,0.2,1.53,48.78,0.24,0.34,0.7,47.0,Good,7.3,58.2,1.818,-1.11,0.21,16.1
Gambela,Jikawo,2017-06-01,4.82,29.39,1.0,11.18,10.42,4.5,0.49,2.66,19.8,,1.37,0.2,20.0,Good,10.7,73.4,1.825,0.17,0.21,16.1
Gambela,Jikawo,2017-07-01,6.9,13.91,1.54,3.47,3.27,3.36,0.51,1.0,25.31,0.25,1.07,0.39,29.0,Good,9.6,81.3,1.774,1.65,0.2,16.2
Gambela,Jikawo,2017-08-01,4.87,,3.84,2.0,3.67,1.71,0.57,1.92,19.23,0.38,0.32,0.06,20.0,Good,14.4,94.3,1.746,2.13,0.21,16.1
Gambela,Jikawo,2017-09-01,7.76,8.88,4.4,6.8,2.0,1.31,0.55,3.23,25.93,0.2,1.49,0.1,32.0,Good,12.4,81.3,1.786,2.25,0.21,16.1
Gambela,Jikawo,2017-10-01,8.86,17.01,4.54,13.15,4.12,4.29,0.41,3.1,52.79,0.02,0.84,0.24,37.0,Good,7.0,52.2,1.791,0.92,0.21,16.2
Gambela,Jikawo,2017-11-01,25.99,18.24,6.97,,,9.61,1.19,1.0,28.56,,1.91,0.21,80.0,Moderate,4.4,42.9,1.784,2.8,0.21,16.1
Gambela,Jikawo,2017-12-01,21.57,40.54,2.76,8.54,5.35,,,6.92,66.5,0.44,1.16,0.3,71.0,Moderate,5.2,35.8,1.765,0.79,0.2,16.1
Gambela,Jikawo,2018-01-01,23.88,50.96,6.18,12.45,8.63,6.33,1.25,,30.98,0.2,1.23,0.92,76.0,Moderate,11.5,36.7,1.787,1.76,0.22,16.4
Gambela,Jikawo,2018-02-01,16.13,31.73,8.03,7.82,12.49,5.33,1.17,6.32,81.17,0.81,1.21,0.33,59.0,Moderate,6.1,32.1,1.863,0.01,0.22,16.5
Gambela,Jikawo,2018-03-01,26.37,32.51,8.12,,17.52,9.59,0.83,7.56,59.46,0.58,2.22,0.24,81.0,Moderate,6.5,50.7,1.775,2.62,0.21,16.5
Gambela,Jikawo,2018-04-01,14.87,39.64,6.78,18.54,11.79,,,2.58,53.31,0.29,1.93,0.8,57.0,Moderate,12.4,57.3,1.85,1.11,0.22,16.5
Gambela,Jikawo,2018-05-01,16.89,38.64,6.63,11.03,17.44,10.08,0.65,2.13,64.23,0.25,,0.58,61.0,Moderate,4.8,46.2,1.798,0.25,0.22,16.5
Gambela,Jikawo,2018-06-01,5.72,25.92,3.6,5.8,15.26,8.46,0.31,3.1,45.51,0.34,2.23,0.86,24.0,Good,4.6,70.3,1.913,0.03,0.22,16.5
Gambela,Jikawo,2018-07-01,7.33,14.29,1.43,2.91,8.59,1.86,0.45,1.99,30.29,0.28,0.62,0.27,31.0,Good,9.9,90.9,1.828,1.67,0.22,16.5
Gambela,Jikawo,2018-08-01,5.92,10.1,3.18,12.41,8.62,6.67,0.6,1.04,19.4,0.01,0.58,0.04,25.0,Good,11.6,79.6,1.676,0.49,0.21,16.5
Gambela,Jikawo,2018-09-01,10.34,21.85,4.02,2.0,,6.78,0.45,1.0,40.11,0.2,0.94,0.53,43.0,Good,9.8,83.9,1.719,-0.02,0.22,16.4
Gambela,Jikawo,2018-10-01,7.84,34.54,5.25,6.26,12.26,4.26,0.72,,57.57,0.22,1.37,0.28,33.0,Good,9.0,53.8,1.867,-0.89,0.23,16.5
Gambela,Jikawo,2018-11-01,4.46,24.66,3.62,11.63,3.94,10.5,0.55,2.09,29.87,0.37,1.4,0.76,19.0,Good,6.8,62.1,1.893,-1.2,0.22,16.5
Gambela,Jikawo,2018-12-01,12.99,32.74,2.92,13.04,11.79,7.95,0.71,2.85,53.48,0.49,1.98,0.29,53.0,Moderate,9.8,53.4,1.75,0.09,0.21,16.5
Gambela,Jikawo,2019-01-01,8.72,41.41,4.15,14.82,26.38,3.88,1.21,5.99,41.85,0.6,0.76,0.44,36.0,Good,8.2,39.1,1.785,0.2,0.22,16.8
