Division,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Dhaka,Munshiganj,2021-10-01,115.02,126.45,29.24,37.72,69.87,17.4,3.83,26.58,45.47,6.26,11.76,3.48,182,Unhealthy,8.1,84.5,0.153,5.55,75.79,2112.2
Dhaka,Munshiganj,2021-11-01,376.39,422.38,54.64,93.34,77.05,25.41,5.38,98.12,64.33,10.37,22.02,5.38,401,Hazardous,5.4,72.3,0.168,4.65,74.77,2105.2
Dhaka,Munshiganj,2021-12-01,463.72,707.87,61.26,142.39,120.68,29.64,5.77,100.0,117.34,13.34,21.35,2.71,471,Hazardous,3.6,69.6,0.161,6.41,73.57,2115.1
Dhaka,Munshiganj,2022-01-01,456.78,658.78,55.54,65.91,134.19,63.06,10.29,42.51,95.69,13.7,32.83,3.67,466,Hazardous,4.1,80.2,0.194,6.74,77.07,2130.4
Dhaka,Munshiganj,2022-02-01,414.85,443.32,43.08,111.02,120.29,21.42,8.58,83.61,84.68,3.36,14.29,6.51,432,Hazardous,3.3,62.6,0.127,6.61,76.98,2141.0
Dhaka,Munshiganj,2022-03-01,165.28,405.0,36.53,104.59,92.78,23.97,3.16,74.92,108.59,2.69,31.51,5.0,216,Very Unhealthy,3.4,64.0,0.111,5.95,75.99,2138.4
Dhaka,Munshiganj,2022-04-01,262.41,344.28,48.58,69.84,98.34,17.69,5.8,42.31,55.8,9.39,23.84,5.85,310,Hazardous,6.2,68.0,0.097,6.84,75.42,2138.9
Dhaka,Munshiganj,2022-05-01,116.23,141.54,28.89,47.18,91.85,19.87,4.04,37.14,53.02,6.68,17.22,4.05,182,Unhealthy,11.3,67.0,0.178,4.63,76.42,2146.0
Dhaka,Munshiganj,2022-06-01,110.21,134.46,24.58,24.87,60.54,12.64,3.08,33.02,61.2,1.91,11.51,1.13,179,Unhealthy,14.8,86.7,0.105,6.69,76.33,2135.3
Dhaka,Munshiganj,2022-07-01,69.0,94.14,17.7,44.0,37.38,10.32,2.55,29.02,36.43,1.57,7.76,2.2,158,Unhealthy,13.7,98.0,0.183,5.75,76.09,2127.8
Dhaka,Munshiganj,2022-08-01,57.5,96.47,24.82,44.08,47.75,20.21,1.27,24.83,40.93,1.92,6.44,3.04,152,Unhealthy,5.9,88.1,0.148,6.07,77.89,2140.9
Dhaka,Munshiganj,2022-09-01,102.81,89.32,21.7,58.46,39.15,15.75,1.3,13.43,43.35,1.4,8.64,2.93,175,Unhealthy,8.3,92.2,0.11,7.08,77.39,2142.5
Dhaka,Munshiganj,2022-10-01,145.58,194.62,41.07,43.06,53.41,15.36,3.83,39.44,66.08,6.56,10.03,2.59,198,Unhealthy,6.6,82.1,0.131,5.92,78.64,2146.8
Dhaka,Munshiganj,2022-11-01,316.74,340.5,70.27,117.11,73.22,45.57,8.73,83.61,55.08,6.21,16.61,8.25,354,Hazardous,6.0,72.4,0.126,9.48,76.68,2136.4
Dhaka,Munshiganj,2022-12-01,372.88,543.97,59.92,121.94,126.17,59.96,8.25,31.96,89.72,12.29,18.09,4.11,399,Hazardous,4.2,62.0,0.167,7.32,75.04,2124.9
Dhaka,Munshiganj,2023-01-01,162.16,740.88,56.01,87.98,161.01,48.68,11.34,46.15,85.98,5.07,40.72,4.66,213,Very Unhealthy,2.9,56.0,0.121,5.81,80.27,2164.7
Dhaka,Munshiganj,2023-02-01,475.58,384.25,89.64,138.31,94.08,22.74,7.51,100.0,97.42,8.82,36.76,3.83,481,Hazardous,3.0,69.3,0.149,5.96,79.72,2158.3
Dhaka,Munshiganj,2023-03-01,208.39,370.44,32.51,82.85,72.32,55.85,6.31,56.89,115.59,3.19,13.17,4.61,258,Very Unhealthy,7.1,56.5,0.144,5.74,80.63,2165.6
Dhaka,Munshiganj,2023-04-01,272.69,340.6,52.49,85.88,84.39,16.06,2.53,39.37,83.44,6.3,13.79,3.59,319,Hazardous,11.9,62.2,0.125,3.94,78.28,2149.1
Dhaka,Munshiganj,2023-05-01,60.36,112.32,35.43,67.02,48.95,13.89,2.33,30.63,38.62,7.21,5.68,2.49,154,Unhealthy,10.5,66.8,0.109,4.38,80.09,2160.7
Dhaka,Munshiganj,2023-06-01,92.08,193.83,28.97,37.06,61.12,18.62,2.89,19.69,54.24,5.39,7.44,0.76,170,Unhealthy,17.8,82.3,0.095,5.63,81.8,2159.3
Dhaka,Munshiganj,2023-07-01,39.44,168.72,24.39,21.33,61.57,21.62,2.64,10.17,33.49,3.32,11.6,1.99,111,Unhealthy for Sensitive Groups,16.7,92.1,0.206,5.31,78.57,2169.9
Dhaka,Munshiganj,2023-08-01,83.98,103.92,17.01,38.66,32.65,13.58,1.89,14.98,26.72,4.51,7.12,2.54,166,Unhealthy,10.8,85.4,0.173,6.33,79.49,2167.0
Dhaka,Munshiganj,2023-09-01,105.96,176.52,31.14,62.62,32.79,15.61,1.86,13.94,42.05,2.43,8.63,3.92,177,Unhealthy,9.7,81.0,0.161,6.32,79.52,2172.6
Dhaka,Munshiganj,2023-10-01,146.44,200.95,25.69,40.85,41.91,20.95,4.01,26.03,78.05,6.69,10.59,2.75,198,Unhealthy,2.2,75.0,0.131,5.25,79.93,2166.5
Dhaka,Munshiganj,2023-11-01,234.71,422.37,51.65,106.56,85.0,33.53,8.3,78.51,94.77,11.3,17.32,4.02,284,Very Unhealthy,5.8,63.2,0.122,6.41,78.32,2168.7
Dhaka,Munshiganj,2023-12-01,414.08,708.67,74.19,121.58,126.07,50.67,3.85,38.74,88.65,14.18,24.1,6.35,431,Hazardous,5.6,80.0,0.126,6.79,80.48,2162.2
Dhaka,Munshiganj,2024-01-01,353.98,340.43,87.43,142.04,161.72,49.55,12.26,81.23,75.17,5.49,29.94,3.09,384,Hazardous,4.4,69.0,0.137,5.31,83.39,2185.4
Dhaka,Munshiganj,2024-02-01,198.15,683.42,51.38,142.07,139.6,41.54,13.02,40.85,117.6,8.06,26.97,9.43,248,Very Unhealthy,4.4,65.1,0.169,5.52,81.93,2189.6
Dhaka,Munshiganj,2024-03-01,294.35,332.17,68.28,63.02,140.43,27.48,4.94,67.7,102.02,3.9,15.31,8.67,336,Hazardous,2.4,62.0,0.141,6.73,82.02,2192.1
Dhaka,Munshiganj,2024-04-01,203.47,271.51,34.2,103.29,108.02,32.13,6.24,42.11,94.56,4.83,7.99,5.99,253,Very Unhealthy,5.8,69.7,0.156,4.35,82.7,2189.2
Dhaka,Munshiganj,2024-05-01,56.61,164.89,34.08,36.14,86.55,23.25,3.4,16.95,83.4,5.6,16.98,2.29,152,Unhealthy,13.6,76.4,0.135,5.46,80.78,2189.5
Dhaka,Munshiganj,2024-06-01,119.75,117.24,22.86,50.71,49.66,26.36,1.14,22.73,57.83,6.36,7.58,3.97,184,Unhealthy,7.7,81.1,0.121,6.03,82.37,2188.3
Dhaka,Munshiganj,2024-07-01,66.37,122.45,30.74,45.85,63.8,11.65,2.36,20.21,38.24,4.85,12.9,0.69,157,Unhealthy,10.7,94.6,0.177,5.6,84.01,2186.2
Dhaka,Munshiganj,2024-08-01,77.87,79.17,28.73,27.51,39.22,14.24,2.51,26.76,37.51,4.28,13.04,2.99,163,Unhealthy,8.8,94.9,0.123,5.67,82.35,2180.1
Dhaka,Munshiganj,2024-09-01,56.28,94.48,36.24,49.91,29.59,29.01,1.7,13.35,31.8,2.63,7.32,3.7,151,Unhealthy,11.1,87.1,0.149,5.6,80.0,2177.0
Dhaka,Munshiganj,2024-10-01,138.65,148.78,49.4,72.22,89.53,26.42,1.33,40.95,34.72,4.1,17.96,2.64,194,Unhealthy,2.3,79.6,0.134,4.92,83.26,2189.8
Dhaka,Munshiganj,2024-11-01,137.69,368.39,46.52,91.86,97.53,52.61,5.76,100.0,99.24,9.81,25.98,5.3,193,Unhealthy,5.4,66.2,0.135,7.01,81.39,2188.9
Dhaka,Munshiganj,2024-12-01,177.23,660.69,61.48,104.23,59.46,47.59,9.86,56.01,81.63,2.99,6.92,3.39,227,Very Unhealthy,1.0,61.3,0.137,6.15,80.52,2183.3
Dhaka,Munshiganj,2025-01-01,325.93,721.32,61.38,72.58,138.81,63.3,11.22,33.98,135.12,8.16,20.02,5.12,361,Hazardous,4.0,61.4,0.171,4.85,86.13,2194.3
Dhaka,Munshiganj,2025-02-01,225.71,453.37,52.7,105.28,166.22,35.76,4.39,55.46,142.85,3.45,14.05,9.29,276,Very Unhealthy,6.3,69.0,0.184,6.9,86.23,2209.3
Dhaka,Munshiganj,2025-03-01,260.42,511.32,47.95,77.94,98.49,31.74,7.1,88.13,84.53,9.29,16.24,3.39,309,Hazardous,6.8,47.0,0.175,5.99,86.58,2205.1
Dhaka,Munshiganj,2025-04-01,224.16,166.18,56.37,75.63,68.66,32.57,3.86,68.01,93.05,8.53,23.71,5.65,274,Very Unhealthy,7.8,71.1,0.19,5.83,84.19,2203.1
Dhaka,Munshiganj,2025-05-01,60.23,184.23,48.62,43.82,45.97,31.93,4.23,42.76,47.88,6.48,10.25,5.96,153,Unhealthy,9.3,81.0,0.115,6.68,85.42,2209.3
Dhaka,Munshiganj,2025-06-01,61.65,89.89,29.24,43.4,35.17,19.2,2.36,11.5,43.8,3.16,7.52,3.36,154,Unhealthy,18.7,87.4,0.144,5.82,83.86,2210.6
Dhaka,Munshiganj,2025-07-01,49.87,162.75,34.4,36.11,36.92,12.87,2.7,8.44,33.56,4.46,7.41,2.08,136,Unhealthy for Sensitive Groups,17.0,86.3,0.13,7.54,85.63,2209.6
Dhaka,Munshiganj,2025-08-01,97.86,174.57,13.75,51.83,35.35,12.53,2.4,15.55,42.83,2.75,4.91,1.13,173,Unhealthy,12.9,90.3,0.132,5.97,85.6,2213.0
Dhaka,Munshiganj,2025-09-01,98.68,125.12,32.99,26.65,55.09,23.24,1.04,13.98,46.76,2.4,15.19,2.02,173,Unhealthy,6.2,82.8,0.161,7.38,85.1,2206.6
Dhaka,Munshiganj,2025-10-01,92.66,224.53,35.08,34.12,34.98,20.15,2.93,41.23,40.83,2.1,17.47,2.71,170,Unhealthy,7.5,89.7,0.121,6.51,87.45,2205.2
Dhaka,Munshiganj,2025-11-01,219.32,621.13,29.48,86.05,129.84,38.36,6.99,57.12,107.25,11.62,27.56,4.16,269,Very Unhealthy,5.8,64.3,0.129,6.96,86.11,2196.5
Dhaka,Munshiganj,2025-12-01,315.26,684.98,45.83,76.43,102.1,62.21,8.65,66.85,109.63,12.76,28.32,8.99,353,Hazardous,2.9,54.6,0.243,6.19,82.23,2206.1
Dhaka,Narayanganj,2014-01-01,449.63,542.08,81.35,133.53,187.59,31.37,11.83,100.0,118.63,11.73,34.02,12.04,460,Hazardous,4.9,62.7,0.123,5.54,54.93,1951.1
Dhaka,Narayanganj,2014-02-01,420.27,447.83,68.17,136.52,174.86,40.42,7.54,100.0,167.14,7.2,20.77,5.03,436,Hazardous,5.2,58.4,0.145,6.38,54.92,1950.3
Dhaka,Narayanganj,2014-03-01,172.46,524.98,43.4,83.17,148.53,44.52,3.93,75.89,130.79,3.8,34.62,4.3,223,Very Unhealthy,6.1,62.8,0.137,5.1,55.55,1950.9
Dhaka,Narayanganj,2014-04-01,330.42,500.82,42.1,76.5,68.63,25.2,2.6,79.31,100.5,9.36,8.39,3.63,365,Hazardous,4.8,77.3,0.118,7.21,55.35,1952.4
Dhaka,Narayanganj,2014-05-01,186.52,221.57,53.73,89.92,53.46,44.9,3.33,32.86,59.68,7.71,17.47,3.82,237,Very Unhealthy,8.3,75.8,0.172,6.01,55.54,1946.9
Dhaka,Narayanganj,2014-06-01,89.42,85.49,43.25,63.97,38.87,10.63,2.37,21.39,32.37,4.59,13.62,2.56,169,Unhealthy,9.8,86.6,0.132,5.64,54.15,1954.0
Dhaka,Narayanganj,2014-07-01,54.05,164.68,26.03,39.87,34.17,21.53,2.44,10.19,32.39,4.35,8.75,3.37,147,Unhealthy for Sensitive Groups,11.1,97.2,0.123,4.38,55.25,1953.7
Dhaka,Narayanganj,2014-08-01,68.54,164.61,20.65,49.31,40.16,24.66,1.92,23.5,46.98,4.55,9.58,1.86,158,Unhealthy,16.8,89.0,0.13,6.69,54.97,1953.8
Dhaka,Narayanganj,2014-09-01,128.48,89.43,16.22,31.72,77.51,19.57,2.08,34.13,55.82,2.99,14.27,3.97,189,Unhealthy,6.3,86.3,0.168,5.86,55.52,1950.6
Dhaka,Narayanganj,2014-10-01,94.54,307.55,35.77,51.19,72.89,42.57,1.71,34.52,48.31,2.66,23.37,3.46,171,Unhealthy,9.7,81.7,0.128,6.08,53.91,1950.1
Dhaka,Narayanganj,2014-11-01,265.91,488.69,61.92,91.96,144.81,28.05,8.76,64.24,108.31,9.75,25.42,5.1,313,Hazardous,2.8,68.2,0.157,7.21,56.03,1959.9
Dhaka,Narayanganj,2014-12-01,413.69,488.81,96.71,108.64,163.9,25.77,14.05,70.68,89.26,13.8,10.58,7.84,431,Hazardous,5.3,61.4,0.186,5.36,56.02,1947.2
Dhaka,Narayanganj,2015-01-01,231.89,676.69,77.16,114.72,118.6,30.11,7.96,44.73,121.96,16.17,39.88,4.66,282,Very Unhealthy,2.5,54.5,0.127,6.97,55.05,1968.1
Dhaka,Narayanganj,2015-02-01,375.08,569.18,78.09,99.13,112.8,47.41,9.79,42.64,152.38,7.69,20.97,7.58,400,Hazardous,4.7,46.7,0.188,6.1,59.07,1976.0
Dhaka,Narayanganj,2015-03-01,411.49,348.0,76.83,97.58,132.87,45.73,4.02,62.88,69.57,13.67,9.95,5.53,429,Hazardous,6.0,61.5,0.14,4.9,58.63,1981.8
Dhaka,Narayanganj,2015-04-01,372.61,346.89,78.53,68.44,65.42,55.17,3.46,100.0,61.22,7.83,18.45,6.46,398,Hazardous,11.9,65.7,0.18,4.72,58.59,1971.8
Dhaka,Narayanganj,2015-05-01,147.54,228.42,44.27,69.97,53.35,33.87,3.68,48.03,91.97,9.1,8.15,2.69,199,Unhealthy,9.4,77.0,0.158,5.41,57.74,1975.2
Dhaka,Narayanganj,2015-06-01,138.3,246.69,17.57,73.02,40.75,22.38,2.48,23.7,36.08,3.34,16.82,2.74,194,Unhealthy,12.0,83.0,0.168,5.66,56.59,1977.0
Dhaka,Narayanganj,2015-07-01,74.12,138.18,32.48,55.59,63.38,27.17,1.55,20.25,48.74,5.5,5.08,3.6,161,Unhealthy,8.5,92.4,0.22,7.51,55.86,1967.6
Dhaka,Narayanganj,2015-08-01,115.68,177.64,30.08,57.71,58.75,22.97,2.43,20.99,24.75,1.79,15.91,1.2,182,Unhealthy,9.6,93.6,0.192,6.29,60.2,1977.9
Dhaka,Narayanganj,2015-09-01,88.94,212.92,35.49,71.24,67.26,30.54,1.68,22.83,76.18,1.69,11.24,5.12,168,Unhealthy,7.3,85.8,0.124,4.98,59.46,1979.4
Dhaka,Narayanganj,2015-10-01,166.02,217.37,40.81,64.92,55.31,21.99,3.94,18.06,94.03,5.44,22.65,6.11,216,Very Unhealthy,7.9,69.2,0.166,6.18,57.44,1979.1
Dhaka,Narayanganj,2015-11-01,371.59,658.28,65.42,138.99,118.66,46.93,6.09,51.28,92.07,6.87,17.9,8.01,398,Hazardous,1.9,65.1,0.122,8.66,56.35,1971.2
Dhaka,Narayanganj,2015-12-01,405.23,566.0,46.85,175.05,92.4,29.82,7.94,93.08,107.27,4.57,31.48,3.32,424,Hazardous,5.9,70.5,0.121,6.05,56.49,1974.7
Dhaka,Narayanganj,2016-01-01,644.96,498.05,68.75,135.27,163.84,65.35,12.19,100.0,157.49,10.28,23.12,4.5,500,Hazardous,1.9,68.9,0.196,4.19,58.03,1993.6
Dhaka,Narayanganj,2016-02-01,456.44,466.25,100.18,159.93,123.37,35.65,11.51,53.22,76.66,9.56,23.44,8.78,465,Hazardous,5.5,49.8,0.124,7.68,62.29,2001.9
Dhaka,Narayanganj,2016-03-01,231.18,499.45,83.86,73.72,170.38,45.98,8.76,100.0,100.57,9.51,14.59,1.37,281,Very Unhealthy,4.7,48.6,0.115,5.03,60.73,2009.1
Dhaka,Narayanganj,2016-04-01,280.0,310.42,53.87,104.5,117.15,53.8,5.23,44.33,81.06,7.08,22.92,7.74,325,Hazardous,9.5,65.8,0.164,6.61,61.41,1994.9
Dhaka,Narayanganj,2016-05-01,113.73,324.0,31.28,89.05,39.21,37.45,1.53,37.03,75.48,1.66,12.09,2.66,181,Unhealthy,14.1,75.0,0.175,5.43,60.13,1998.0
Dhaka,Narayanganj,2016-06-01,138.61,198.23,18.67,59.95,66.32,12.96,2.03,37.9,64.33,6.69,17.5,5.29,194,Unhealthy,5.6,87.3,0.145,5.72,61.2,1993.4
Dhaka,Narayanganj,2016-07-01,44.08,169.66,33.03,53.44,47.82,28.37,1.91,17.68,55.2,2.86,4.43,2.21,122,Unhealthy for Sensitive Groups,4.8,94.8,0.187,5.87,60.35,1997.8
Dhaka,Narayanganj,2016-08-01,140.07,92.17,37.25,34.05,32.93,10.99,2.23,22.85,39.89,2.29,2.74,3.59,195,Unhealthy,12.8,97.9,0.118,7.13,59.18,1985.5
Dhaka,Narayanganj,2016-09-01,97.2,166.03,33.25,44.23,48.91,16.36,3.22,19.28,39.19,1.33,9.3,4.69,173,Unhealthy,8.6,87.4,0.143,4.26,60.2,1996.6
Dhaka,Narayanganj,2016-10-01,191.25,198.84,64.23,68.8,67.12,15.67,4.66,39.99,56.38,8.07,18.44,4.24,241,Very Unhealthy,11.0,70.5,0.125,6.31,60.78,1997.7
Dhaka,Narayanganj,2016-11-01,253.88,369.74,66.37,118.19,119.13,37.03,11.33,100.0,136.0,3.54,10.4,9.7,304,Hazardous,3.2,63.0,0.153,5.36,59.34,1988.6
Dhaka,Narayanganj,2016-12-01,276.64,533.0,92.44,127.4,143.24,48.71,10.25,72.16,140.61,10.88,22.91,2.02,322,Hazardous,5.3,70.7,0.184,5.34,60.43,1999.6
Dhaka,Narayanganj,2017-01-01,502.83,393.24,96.27,142.97,134.97,47.55,5.56,100.0,149.99,5.87,45.16,12.63,500,Hazardous,4.2,53.4,0.163,6.1,63.57,2024.2
Dhaka,Narayanganj,2017-02-01,405.82,525.16,117.76,86.62,123.68,57.55,5.91,85.97,135.0,13.9,33.91,8.78,425,Hazardous,2.2,52.6,0.191,7.16,61.35,2024.2
Dhaka,Narayanganj,2017-03-01,442.06,294.94,91.51,100.33,148.27,52.82,9.5,44.9,101.87,13.31,11.93,10.11,454,Hazardous,7.0,61.8,0.167,5.55,61.83,2014.6
Dhaka,Narayanganj,2017-04-01,195.64,541.34,58.66,81.57,150.72,36.5,8.32,93.06,117.35,4.77,28.44,7.15,246,Very Unhealthy,11.3,71.6,0.142,5.63,62.37,2018.0
Dhaka,Narayanganj,2017-05-01,90.17,268.14,53.9,52.63,84.69,21.11,3.42,26.56,68.12,7.39,27.16,2.04,169,Unhealthy,7.7,87.8,0.145,6.2,62.31,2013.3
Dhaka,Narayanganj,2017-06-01,96.65,143.23,42.33,60.31,90.94,23.2,2.17,16.48,42.18,6.73,13.93,2.14,172,Unhealthy,16.1,83.9,0.175,4.56,62.1,2018.0
Dhaka,Narayanganj,2017-07-01,52.73,171.01,33.37,47.51,72.8,10.43,1.42,9.88,47.83,2.24,7.65,1.79,143,Unhealthy for Sensitive Groups,7.9,89.9,0.154,6.46,62.89,2021.1
Dhaka,Narayanganj,2017-08-01,78.24,211.5,32.87,28.81,60.4,30.82,2.23,16.55,49.33,3.5,14.71,0.78,163,Unhealthy,2.4,93.5,0.133,6.27,60.21,2020.6
Dhaka,Narayanganj,2017-09-01,58.28,225.89,35.1,70.4,33.59,31.46,2.85,13.48,61.54,4.11,18.72,2.8,152,Unhealthy,4.5,86.5,0.145,5.11,64.49,2026.1
Dhaka,Narayanganj,2017-10-01,103.2,262.44,55.51,72.93,108.32,48.28,4.3,50.36,92.84,5.95,7.92,1.74,176,Unhealthy,3.7,86.7,0.204,4.85,62.37,2019.0
Dhaka,Narayanganj,2017-11-01,460.16,819.11,92.08,84.59,60.68,33.74,11.26,100.0,105.2,12.93,32.56,8.85,468,Hazardous,1.8,65.6,0.192,6.23,62.84,2027.4
Dhaka,Narayanganj,2017-12-01,302.15,964.08,54.75,110.88,86.85,35.02,10.57,53.04,138.1,15.63,38.84,8.6,342,Hazardous,3.1,74.6,0.171,5.72,61.55,2024.0
Dhaka,Narayanganj,2018-01-01,360.02,869.28,55.19,179.5,146.93,72.14,12.06,100.0,150.0,7.5,15.21,9.69,388,Hazardous,2.9,72.2,0.207,6.08,65.77,2031.4
Dhaka,Narayanganj,2018-02-01,454.75,603.17,95.56,87.67,200.0,43.18,12.03,98.04,90.63,15.49,39.48,6.16,464,Hazardous,4.3,60.1,0.2,6.88,65.05,2042.6
Dhaka,Narayanganj,2018-03-01,321.1,610.36,38.21,131.8,78.21,35.06,10.49,100.0,109.07,13.14,11.63,9.75,357,Hazardous,7.0,50.8,0.117,4.09,66.8,2043.0
Dhaka,Narayanganj,2018-04-01,229.23,295.24,41.1,78.54,73.24,33.93,7.71,30.54,82.1,4.14,26.27,5.5,279,Very Unhealthy,7.3,65.6,0.125,6.49,68.36,2046.8
Dhaka,Narayanganj,2018-05-01,98.67,287.02,34.36,89.69,49.52,32.12,2.76,44.24,46.64,7.51,24.16,2.81,173,Unhealthy,12.6,71.2,0.199,5.18,68.01,2038.5
Dhaka,Narayanganj,2018-06-01,94.48,239.24,24.94,56.31,35.34,27.49,3.04,12.68,31.58,4.74,3.93,3.29,171,Unhealthy,16.3,90.4,0.129,6.07,68.45,2037.6
Dhaka,Narayanganj,2018-07-01,73.57,107.51,13.4,46.23,52.32,29.32,2.44,16.5,29.63,5.04,11.69,3.88,160,Unhealthy,8.0,89.9,0.179,6.77,66.89,2033.2
Dhaka,Narayanganj,2018-08-01,95.5,160.74,40.97,53.05,60.83,26.47,3.0,22.92,43.84,1.22,9.61,0.81,172,Unhealthy,14.4,89.9,0.138,7.44,64.63,2040.8
Dhaka,Narayanganj,2018-09-01,117.16,150.13,30.09,53.89,37.51,28.0,1.49,24.71,32.83,5.22,7.78,1.95,183,Unhealthy,13.5,92.1,0.122,6.25,66.29,2052.0
Dhaka,Narayanganj,2018-10-01,124.52,286.52,60.33,83.43,83.59,41.41,1.86,16.15,100.68,7.28,6.35,1.43,187,Unhealthy,6.1,83.6,0.104,5.68,66.55,2043.6
Dhaka,Narayanganj,2018-11-01,453.09,465.67,53.15,89.32,106.35,55.81,7.91,39.72,64.12,13.8,9.81,4.78,463,Hazardous,4.3,70.6,0.188,4.05,65.62,2029.7
Dhaka,Narayanganj,2018-12-01,249.48,380.86,99.86,126.0,200.0,38.51,6.7,62.3,121.44,7.29,40.34,6.51,299,Very Unhealthy,2.8,56.9,0.194,5.99,66.67,2038.3
Dhaka,Narayanganj,2019-01-01,463.27,847.27,85.76,91.85,162.17,30.38,14.65,100.0,118.11,11.13,35.87,5.66,471,Hazardous,2.7,73.5,0.135,4.35,69.0,2055.3
Dhaka,Narayanganj,2019-02-01,297.09,487.26,41.44,79.49,193.77,61.88,14.3,100.0,112.35,14.41,9.91,6.64,338,Hazardous,5.0,70.1,0.177,4.5,68.34,2082.1
Dhaka,Narayanganj,2019-03-01,245.99,745.68,50.07,142.33,137.16,47.12,9.62,74.13,147.79,14.65,9.36,6.16,296,Very Unhealthy,7.2,53.9,0.141,4.01,68.48,2061.4
Dhaka,Narayanganj,2019-04-01,272.4,695.72,81.54,124.43,87.91,21.87,10.74,100.0,124.97,4.71,9.66,8.37,318,Hazardous,4.6,71.6,0.149,6.97,67.78,2056.8
Dhaka,Narayanganj,2019-05-01,183.97,252.74,70.66,58.62,50.81,16.26,2.53,50.98,49.78,7.54,16.86,3.64,234,Very Unhealthy,10.5,80.2,0.196,7.25,68.69,2060.8
Dhaka,Narayanganj,2019-06-01,136.37,135.51,16.35,63.67,82.82,24.87,1.73,17.14,55.44,2.99,10.75,1.43,193,Unhealthy,11.9,94.6,0.203,6.46,69.87,2066.4
Dhaka,Narayanganj,2019-07-01,54.98,160.44,36.15,51.49,70.38,9.73,2.48,14.85,52.69,5.34,11.97,1.97,149,Unhealthy for Sensitive Groups,13.1,91.4,0.154,6.46,68.95,2072.0
Dhaka,Narayanganj,2019-08-01,59.33,179.96,23.06,50.8,79.92,18.22,3.47,27.26,29.61,1.82,9.9,4.39,153,Unhealthy,12.5,91.2,0.098,8.08,68.32,2068.7
Dhaka,Narayanganj,2019-09-01,119.2,250.04,39.7,61.82,83.61,26.23,2.43,15.36,73.5,2.2,14.44,5.31,184,Unhealthy,4.4,91.7,0.192,4.91,67.52,2068.3
Dhaka,Narayanganj,2019-10-01,91.51,206.45,66.74,44.26,50.32,25.19,3.22,57.41,55.29,3.81,7.7,2.88,170,Unhealthy,4.3,72.2,0.147,6.81,67.11,2069.3
Dhaka,Narayanganj,2019-11-01,403.23,715.71,102.2,156.38,188.36,64.78,6.34,78.96,136.42,6.33,12.41,4.82,423,Hazardous,4.3,70.0,0.064,5.96,69.85,2064.8
Dhaka,Narayanganj,2019-12-01,594.68,1000.0,116.64,170.2,200.0,71.46,9.33,100.0,117.86,18.02,15.82,7.74,500,Hazardous,1.7,64.8,0.136,7.82,68.16,2066.7
Dhaka,Narayanganj,2020-01-01,310.87,617.84,81.27,178.39,90.64,66.79,5.92,100.0,148.3,18.27,34.68,7.85,349,Hazardous,3.7,57.3,0.155,5.47,72.46,2101.2
Dhaka,Narayanganj,2020-02-01,569.12,581.96,108.63,104.08,97.83,31.49,7.04,99.34,145.41,8.45,40.38,11.74,500,Hazardous,5.1,59.4,0.16,5.5,71.73,2088.9
Dhaka,Narayanganj,2020-03-01,371.04,455.08,72.03,77.96,142.05,61.97,7.48,100.0,61.27,3.88,31.58,7.39,397,Hazardous,5.5,65.7,0.151,5.1,70.44,2090.4
Dhaka,Narayanganj,2020-04-01,102.57,203.0,20.86,69.8,52.43,24.03,4.46,21.26,38.48,2.29,15.03,1.12,175,Unhealthy,7.1,70.3,0.209,4.56,71.87,2090.8
Dhaka,Narayanganj,2020-05-01,104.82,222.93,41.59,66.73,50.82,16.29,3.58,32.05,38.98,4.62,13.8,2.64,176,Unhealthy,11.2,84.5,0.141,6.62,73.5,2100.3
Dhaka,Narayanganj,2020-06-01,129.43,147.08,31.67,38.32,32.5,26.6,2.31,29.78,49.77,1.17,16.47,2.49,189,Unhealthy,6.4,89.7,0.139,6.27,74.29,2086.2
Dhaka,Narayanganj,2020-07-01,91.17,146.96,35.87,44.33,37.16,29.34,1.63,23.95,44.93,6.33,5.27,3.44,169,Unhealthy,7.8,87.2,0.156,6.47,72.7,2089.2
Dhaka,Narayanganj,2020-08-01,117.29,220.04,37.07,31.56,47.88,27.04,3.05,26.2,77.5,5.04,6.82,3.9,183,Unhealthy,10.3,96.2,0.14,5.72,72.91,2088.2
Dhaka,Narayanganj,2020-09-01,146.41,217.18,49.24,40.32,89.48,15.86,3.87,23.82,32.11,4.07,9.83,3.01,198,Unhealthy,5.3,90.0,0.141,7.87,71.33,2089.1
Dhaka,Narayanganj,2020-10-01,225.13,247.77,38.87,70.66,92.47,36.84,2.83,37.47,104.16,2.83,6.46,4.81,275,Very Unhealthy,10.7,87.5,0.147,3.76,72.81,2093.9
Dhaka,Narayanganj,2020-11-01,459.65,583.86,106.62,153.0,70.67,50.34,9.69,100.0,143.69,10.64,31.95,10.45,468,Hazardous,5.0,76.7,0.131,6.4,72.11,2091.4
